Country,Airlines,Model Series,Region
Indonesia,Lion Air,A320,Asia-Pacific
China,Loong Air,A320,Asia-Pacific
Egypt,Lotus Air,A320,Africa
Germany,Ltu,A320,Europe
Germany,Lufthansa,A320,Europe
United States,Macquarie Aircraft Leasing Ltd,A320,North America
Mexico,Mexicana,A320,Latin America & Caribbean
Lebanon,Middle East Airlines,A320,Middle East
United Kingdom,Monarch Airlines,A320,Europe
India,Nacil - Indian Airlines,A320,Asia-Pacific
United States,Nas Aviation Services,A320,North America
Nepal,Nepal Airlines,A320,Asia-Pacific
Austria,Niki,A320,Europe
United States,Northwest Airlines,A320,North America
Tunisia,Nouvelair,A320,Africa
Spain,Orbest Orizonia,A320,Europe
Japan,Orix Corporation,A320,Asia-Pacific
Viet Nam,Pacific Airlines,A320,Asia-Pacific
Japan,Peach,A320,Asia-Pacific
Philippines,Philippine Airlines,A320,Asia-Pacific
Australia,Qantas Airways,A320,Asia-Pacific
Qatar,Qatar Airways,A320,Middle East
China,Qingdao Airlines,A320,Asia-Pacific
Jordan,Royal Jordanian,A320,Middle East
Belgium,Sabena,A320,Europe
Saudi Arabia,Saudia,A320,Middle East
Saudi Arabia,Saudigulf Airlines,A320,Middle East
Singapore,Scoot,A320,Asia-Pacific
China,Shenzhen Airlines,A320,Asia-Pacific
Egypt,Shorouk Air,A320,Africa
China,Sichuan Airlines,A320,Asia-Pacific
Singapore,Silkair,A320,Asia-Pacific
Ireland,Smbc Aviation Capital,A320,Europe
South Africa,South African Airways,A320,Africa
Spain,Spanair,A320,Europe
United States,Spirit Airlines,A320,North America
China,Spring Airlines,A320,Asia-Pacific
Sri Lanka,Srilankan Airlines,A320,Asia-Pacific
Japan,Star Flyer,A320,Asia-Pacific
Sudan,Sudan Airways,A320,Africa
Denmark,Sunclass Airlines,A320,Europe
Switzerland,Swiss,A320,Europe
Switzerland,Swissair,A320,Europe
Brazil,Synergy Aerospace Corporation,A320,Latin America & Caribbean
Syrian Arab Republic,Syrianair,A320,Middle East
